,Abyssinian,american_bulldog,american_pit_bull_terrier,basset_hound,beagle,Bengal,Birman,Bombay,boxer,British_Shorthair,chihuahua,Egyptian_Mau,english_cocker_spaniel,english_setter,german_shorthaired,great_pyrenees,havanese,japanese_chin,keeshond,leonberger,Maine_Coon,miniature_pinscher,newfoundland,Persian,pomeranian,pug,Ragdoll,Russian_Blue,saint_bernard,samoyed,scottish_terrier,shiba_inu,Siamese,Sphynx,staffordshire_bull_terrier,wheaten_terrier,yorkshire_terrier
Abyssinian,84,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0
american_bulldog,0,90,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
american_pit_bull_terrier,0,15,52,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
basset_hound,0,0,0,91,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
beagle,0,2,0,2,94,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengal,5,0,0,0,0,75,0,0,0,1,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Birman,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,13,0,0,0,0,0,2,0,0,0,0
Bombay,1,0,0,0,0,0,0,77,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0
boxer,0,7,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
British_Shorthair,1,0,0,0,0,1,0,2,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0
chihuahua,0,0,0,0,1,0,0,1,0,0,83,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,1,1,6,0,0,0
Egyptian_Mau,2,0,0,0,0,8,0,1,0,1,0,83,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
english_cocker_spaniel,0,0,0,0,0,0,0,0,0,0,0,0,89,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
english_setter,0,0,0,0,1,0,0,0,0,0,0,0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
german_shorthaired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
great_pyrenees,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
havanese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2
japanese_chin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
keeshond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leonberger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Maine_Coon,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,1,1,0,15,0,0,0,0,1,0,0,0,0,0
miniature_pinscher,2,0,2,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0
newfoundland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,90,0,0,5,0,0,0,0,0,0,0,0,0,1
pomeranian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,92,0,0,0,0,4,0,1,0,0,0,0,0
pug,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,1,0,0,0,0
Ragdoll,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,78,0,0,0,0,0,1,0,0,0,0
Russian_Blue,4,0,0,0,0,0,0,4,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
saint_bernard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
samoyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
scottish_terrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
shiba_inu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,97,0,0,0,0,0
Siamese,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,86,2,0,0,0
Sphynx,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98,0,0,0
staffordshire_bull_terrier,0,11,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,0
wheaten_terrier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,1
yorkshire_terrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
